Date,Close,High,Open,Low
2023.02.06 15:00:00,1.07572,1.07779,1.07581,1.0773
2023.02.06 16:00:00,1.07391,1.07662,1.07445,1.07581
2023.02.06 17:00:00,1.07221,1.07479,1.07301,1.07447
2023.02.06 18:00:00,1.07174,1.07394,1.07213,1.07303
2023.02.06 19:00:00,1.07095,1.0722,1.07132,1.07213
2023.02.06 20:00:00,1.07103,1.07267,1.07264,1.07132
2023.02.06 21:00:00,1.07235,1.07373,1.07247,1.07263
2023.02.06 22:00:00,1.07185,1.0731,1.07298,1.07247
2023.02.06 23:00:00,1.07236,1.07303,1.07249,1.07295
2023.02.07 00:00:00,1.07203,1.07277,1.07258,1.07242
2023.02.07 01:00:00,1.07232,1.07292,1.07291,1.07259
2023.02.07 02:00:00,1.07282,1.07363,1.07362,1.0729
2023.02.07 03:00:00,1.07336,1.07425,1.07412,1.07365
2023.02.07 04:00:00,1.07361,1.07416,1.0741,1.07412
2023.02.07 05:00:00,1.07359,1.07427,1.07383,1.07411
2023.02.07 06:00:00,1.07286,1.07383,1.07328,1.07382
2023.02.07 07:00:00,1.07307,1.07418,1.07404,1.0733
2023.02.07 08:00:00,1.07352,1.07438,1.07393,1.07404
2023.02.07 09:00:00,1.07231,1.07398,1.07242,1.07392
2023.02.07 10:00:00,1.06971,1.07261,1.07192,1.07242
2023.02.07 11:00:00,1.07107,1.0735,1.0711,1.07191
2023.02.07 12:00:00,1.07068,1.07227,1.07137,1.07109
2023.02.07 13:00:00,1.06982,1.07181,1.07051,1.07136
2023.02.07 14:00:00,1.07018,1.07124,1.07055,1.0705
2023.02.07 15:00:00,1.06859,1.07065,1.06954,1.07053
2023.02.07 16:00:00,1.06798,1.06995,1.06824,1.06954
2023.02.07 17:00:00,1.06692,1.06967,1.06928,1.06824
2023.02.07 18:00:00,1.06886,1.07122,1.07049,1.06928
2023.02.07 19:00:00,1.069,1.07664,1.07603,1.07049
2023.02.07 20:00:00,1.06874,1.07628,1.07021,1.07603
2023.02.07 21:00:00,1.07014,1.07286,1.07195,1.0702
2023.02.07 22:00:00,1.07084,1.07294,1.07251,1.07195
2023.02.07 23:00:00,1.07216,1.07298,1.07267,1.07249
2023.02.08 00:00:00,1.07182,1.07296,1.07295,1.07233
2023.02.08 01:00:00,1.07252,1.07308,1.07301,1.07295
2023.02.08 02:00:00,1.07268,1.07341,1.07321,1.07304
2023.02.08 03:00:00,1.0723,1.0735,1.07264,1.07318
2023.02.08 04:00:00,1.07238,1.07331,1.07328,1.07264
2023.02.08 05:00:00,1.07303,1.07348,1.07324,1.07328
2023.02.08 06:00:00,1.07306,1.07348,1.07335,1.07323
2023.02.08 07:00:00,1.07273,1.07349,1.07337,1.07333
2023.02.08 08:00:00,1.07272,1.07396,1.07272,1.07337
2023.02.08 09:00:00,1.0724,1.07598,1.07587,1.07272
2023.02.08 10:00:00,1.07411,1.07589,1.07523,1.07588
2023.02.08 11:00:00,1.07502,1.07609,1.07553,1.07524
2023.02.08 12:00:00,1.0743,1.07558,1.07465,1.07553
2023.02.08 13:00:00,1.0733,1.07476,1.07351,1.07465
2023.02.08 14:00:00,1.07337,1.07493,1.07338,1.0735
2023.02.08 15:00:00,1.07258,1.07378,1.07317,1.07338
2023.02.08 16:00:00,1.07181,1.07433,1.07251,1.07317
2023.02.08 17:00:00,1.07137,1.0728,1.07253,1.07251
2023.02.08 18:00:00,1.07187,1.07364,1.07336,1.07253
2023.02.08 19:00:00,1.07259,1.07402,1.07285,1.07336
2023.02.08 20:00:00,1.07244,1.07392,1.0734,1.07286
2023.02.08 21:00:00,1.07209,1.07342,1.07231,1.07341
2023.02.08 22:00:00,1.07094,1.07246,1.07138,1.07231
2023.02.08 23:00:00,1.07113,1.07154,1.07129,1.07138
2023.02.09 00:00:00,1.07083,1.07164,1.07124,1.07095
2023.02.09 01:00:00,1.07094,1.07169,1.07151,1.07121
2023.02.09 02:00:00,1.07146,1.0719,1.07159,1.07151
2023.02.09 03:00:00,1.07093,1.0726,1.07247,1.07159
2023.02.09 04:00:00,1.07237,1.07328,1.07307,1.07247
2023.02.09 05:00:00,1.07254,1.07326,1.07296,1.07308
2023.02.09 06:00:00,1.07283,1.07326,1.07321,1.07296
2023.02.09 07:00:00,1.07268,1.07383,1.07357,1.07321
2023.02.09 08:00:00,1.07336,1.07449,1.07398,1.07357
2023.02.09 09:00:00,1.07241,1.07402,1.0733,1.07398
2023.02.09 10:00:00,1.07326,1.07596,1.07529,1.0733
2023.02.09 11:00:00,1.07511,1.0769,1.07638,1.0753
2023.02.09 12:00:00,1.07592,1.07785,1.07775,1.07638
2023.02.09 13:00:00,1.07587,1.07777,1.07632,1.07776
2023.02.09 14:00:00,1.07592,1.07723,1.07695,1.07632
2023.02.09 15:00:00,1.07628,1.07902,1.07899,1.07694
2023.02.09 16:00:00,1.07781,1.07908,1.07801,1.07899
2023.02.09 17:00:00,1.07616,1.07895,1.07629,1.07802
2023.02.09 18:00:00,1.07441,1.07634,1.07609,1.07628
2023.02.09 19:00:00,1.07391,1.07615,1.07487,1.07604
2023.02.09 20:00:00,1.07378,1.07488,1.07413,1.07487
2023.02.09 21:00:00,1.07332,1.07457,1.07373,1.07413
2023.02.09 22:00:00,1.07317,1.07395,1.07336,1.07372
2023.02.09 23:00:00,1.07329,1.074,1.07386,1.07336
2023.02.10 00:00:00,1.07334,1.0742,1.07401,1.07361
2023.02.10 01:00:00,1.07379,1.0742,1.0739,1.07402
2023.02.10 02:00:00,1.07257,1.07394,1.07346,1.07391
2023.02.10 03:00:00,1.07281,1.07386,1.07336,1.07346
2023.02.10 04:00:00,1.07243,1.07343,1.07251,1.07329
2023.02.10 05:00:00,1.07175,1.07261,1.07208,1.07251
2023.02.10 06:00:00,1.07173,1.07242,1.07185,1.07208
2023.02.10 07:00:00,1.07182,1.07268,1.0726,1.07185
2023.02.10 08:00:00,1.0722,1.07292,1.07231,1.0726
2023.02.10 09:00:00,1.07192,1.07448,1.07412,1.07231
2023.02.10 10:00:00,1.07267,1.07529,1.07424,1.07412
2023.02.10 11:00:00,1.07042,1.07449,1.07068,1.07423
2023.02.10 12:00:00,1.06917,1.07114,1.0709,1.07067
2023.02.10 13:00:00,1.06937,1.07112,1.06986,1.07087
2023.02.10 14:00:00,1.06813,1.07007,1.06832,1.06986
2023.02.10 15:00:00,1.06816,1.06994,1.0696,1.06832
2023.02.10 16:00:00,1.06862,1.07069,1.06977,1.06959
2023.02.10 17:00:00,1.06746,1.07067,1.06769,1.06978
2023.02.10 18:00:00,1.06682,1.0687,1.06688,1.06771
2023.02.10 19:00:00,1.06664,1.06742,1.06684,1.06687
2023.02.10 20:00:00,1.06677,1.06769,1.06714,1.06684
2023.02.10 21:00:00,1.06683,1.06754,1.06733,1.06714
2023.02.10 22:00:00,1.06733,1.06808,1.06789,1.06736
2023.02.10 23:00:00,1.0675,1.068,1.06782,1.0679
2023.02.13 00:00:00,1.06745,1.06813,1.06775,1.06803
2023.02.13 01:00:00,1.06712,1.06792,1.06768,1.06776
2023.02.13 02:00:00,1.0668,1.06789,1.06726,1.06771
2023.02.13 03:00:00,1.06555,1.0675,1.06669,1.06726
2023.02.13 04:00:00,1.06605,1.0671,1.06676,1.0667
2023.02.13 05:00:00,1.06607,1.06682,1.06607,1.06676
2023.02.13 06:00:00,1.06607,1.06692,1.06671,1.06608
2023.02.13 07:00:00,1.06632,1.06707,1.06696,1.06671
2023.02.13 08:00:00,1.06672,1.06793,1.06741,1.06696
2023.02.13 09:00:00,1.06726,1.06899,1.06832,1.06741
2023.02.13 10:00:00,1.06737,1.06856,1.06744,1.06832
2023.02.13 11:00:00,1.06633,1.06842,1.06772,1.06744
2023.02.13 12:00:00,1.06755,1.06851,1.06805,1.06772
2023.02.13 13:00:00,1.06734,1.06843,1.06758,1.06808
2023.02.13 14:00:00,1.06738,1.06966,1.06907,1.06759
2023.02.13 15:00:00,1.06761,1.06955,1.06808,1.06907
2023.02.13 16:00:00,1.06765,1.07072,1.0705,1.06808
2023.02.13 17:00:00,1.07021,1.07275,1.07197,1.07051
2023.02.13 18:00:00,1.07103,1.07234,1.07169,1.07198
2023.02.13 19:00:00,1.07158,1.07217,1.07184,1.07168
2023.02.13 20:00:00,1.07117,1.073,1.07279,1.07184
2023.02.13 21:00:00,1.07161,1.07283,1.07174,1.07279
2023.02.13 22:00:00,1.07141,1.07237,1.07228,1.07173
2023.02.13 23:00:00,1.07205,1.0725,1.07243,1.07228
2023.02.14 00:00:00,1.07182,1.07255,1.07247,1.07188
2023.02.14 01:00:00,1.0721,1.07325,1.0731,1.07247
2023.02.14 02:00:00,1.07299,1.07368,1.07334,1.0731
2023.02.14 03:00:00,1.07257,1.07342,1.07287,1.07335
2023.02.14 04:00:00,1.07254,1.07339,1.0732,1.07287
2023.02.14 05:00:00,1.07295,1.07358,1.07345,1.07321
2023.02.14 06:00:00,1.0732,1.07399,1.07381,1.07345
2023.02.14 07:00:00,1.07354,1.07398,1.07384,1.07378
2023.02.14 08:00:00,1.07341,1.07431,1.07392,1.07383
2023.02.14 09:00:00,1.07289,1.07467,1.07321,1.07392
2023.02.14 10:00:00,1.0729,1.07503,1.07487,1.07323
